                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.46521,                0.51164,                0.85062,                0.98648,                      1,                  0.995,                 0.8511,                0.63894,                0.78061,                0.86318,                0.00167,                0.00167,                0.00167
                     78,                0.53649,                0.55021,                0.90218,                0.98846,                      1,                  0.995,                 0.8851,                 0.5983,                0.60677,                0.81721,              0.0016656,              0.0016656,              0.0016656
                     79,                 0.4817,                0.54626,                0.84033,                0.98803,                      1,                  0.995,                 0.8321,                 0.7613,                0.60362,                0.87686,              0.0016612,              0.0016612,              0.0016612
                     80,                0.49141,                0.49135,                0.85145,                0.98777,                      1,                  0.995,                0.80725,                0.70174,                0.61052,                0.87651,              0.0016568,              0.0016568,              0.0016568
                     81,                0.52959,                 0.5622,                0.88881,                0.98796,                      1,                  0.995,                0.88193,                 0.5916,                0.60239,                0.82078,              0.0016524,              0.0016524,              0.0016524
                     82,                 0.5027,                0.52412,                0.84423,                0.98765,                      1,                  0.995,                0.87508,                0.58749,                 0.5272,                0.84602,               0.001648,               0.001648,               0.001648
                     83,                0.49208,                0.52551,                0.86343,                0.98807,                      1,                  0.995,                0.84211,                0.58368,                0.54338,                0.86021,              0.0016436,              0.0016436,              0.0016436
                     84,                0.47819,                0.49549,                0.82957,                0.98054,                      1,                  0.995,                 0.8156,                0.68543,                0.64808,                 0.8755,              0.0016392,              0.0016392,              0.0016392
                     85,                0.64676,                 0.5305,                0.87403,                0.96752,                      1,                  0.995,                 0.8156,                0.69811,                 0.8579,                0.86505,              0.0016348,              0.0016348,              0.0016348
                     86,                 0.5411,                0.57494,                0.86516,                0.95516,                      1,                  0.995,                0.83157,                0.64719,                0.89444,                0.82445,              0.0016304,              0.0016304,              0.0016304
                     87,                0.50678,                 0.4811,                  0.838,                0.96013,                      1,                  0.995,                0.85734,                0.58818,                0.88178,                0.80601,               0.001626,               0.001626,               0.001626
                     88,                0.53757,                0.51556,                0.87719,                0.97592,                      1,                  0.995,                0.88932,                0.59941,                0.71879,                0.80656,              0.0016216,              0.0016216,              0.0016216
                     89,                0.49122,                0.51247,                0.81687,                0.98949,                      1,                  0.995,                0.87546,                0.56533,                0.58905,                0.78583,              0.0016172,              0.0016172,              0.0016172
                     90,                0.47032,                 0.4939,                0.82993,                0.99059,                      1,                  0.995,                0.87153,                0.57624,                0.55865,                 0.8004,              0.0016128,              0.0016128,              0.0016128
